UID-2001,120,50.5,100,0
UID-2001,45,10.2,100,0
UID-2001,300,150.0,100,0
UID-2001,10,2.0,100,0
UID-2001,60,25.0,100,0
UID-2001,180,45.0,200,0
UID-2001,20,5.0,200,0
UID-2001,400,200.0,200,0
UID-2001,30,8.0,200,0
UID-2001,150,60.0,200,0
UID-2001,120,30.0,300,0
UID-2001,60,15.0,300,0
UID-2001,45,10.0,300,0
UID-2001,30,5.0,300,0
UID-2001,500,400.0,400,0
UID-2001,200,100.0,400,0
UID-2001,100,50.0,400,0
UID-2001,600,500.0,500,0
UID-2001,300,200.0,500,0
UID-2001,1000,800.0,99,1
UID-2001,120,45.5,10,1
UID-2001,45,12.0,12,0
UID-2001,300,150.2,10,1
UID-2001,15,2.5,15,0
UID-2001,60,20.0,10,1
UID-2001,240,88.9,11,1
UID-2001,10,0.5,12,0
UID-2001,500,450.0,10,1
UID-2001,180,30.2,15,1
UID-2001,25,5.1,11,0
UID-2001,400,210.5,14,1
UID-2001,35,10.0,14,0
UID-2001,120,40.0,10,1
UID-2001,90,33.4,12,1
UID-2001,15,1.2,10,0
UID-2001,330,190.0,15,1
UID-2001,45,15.5,12,0
UID-2001,600,800.0,11,1
UID-2001,20,4.5,15,0
UID-2001,45,10.2,12,1
UID-2001,55,18.0,10,1
UID-2001,12,0.9,12,0
UID-2001,310,160.2,10,1
UID-2001,25,4.5,15,0
UID-2001,70,25.0,10,1
UID-2001,250,95.9,11,1
UID-2001,15,1.5,12,0
UID-2001,510,460.0,10,1
UID-2001,190,40.2,15,1
UID-2001,35,8.1,11,0
UID-2001,410,220.5,14,1
UID-2001,45,12.0,14,0
UID-2001,130,45.0,10,1
UID-2001,95,35.4,12,1
UID-2001,18,1.5,10,0
UID-2001,340,200.0,15,1
UID-2001,48,16.5,12,0
UID-2001,610,810.0,11,1
UID-2001,25,5.4,14,0
UID-2001,160,70.0,10,1
UID-2001,125,48.5,10,1
UID-2001,48,13.0,12,0
UID-2001,305,155.2,10,1
UID-2001,18,3.5,15,0
UID-2001,65,22.0,10,1
UID-2001,245,90.9,11,1
UID-2001,12,0.8,12,0
UID-2001,505,455.0,10,1
UID-2001,185,32.2,15,1
UID-2001,28,6.1,11,0
UID-2001,405,215.5,14,1
UID-2001,38,12.0,14,0
UID-2001,125,42.0,10,1
UID-2001,92,34.4,12,1
UID-2001,16,1.4,10,0
UID-2001,335,195.0,15,1
UID-2001,46,15.8,12,0
UID-2001,605,805.0,11,1
UID-2001,22,4.8,15,0
UID-2001,48,10.5,12,1
UID-2001,58,18.5,10,1
UID-2001,14,1.1,12,0
UID-2001,315,165.2,10,1
UID-2001,28,4.8,15,0
UID-2001,72,25.5,10,1
UID-2001,255,96.9,11,1
UID-2001,18,1.8,12,0
UID-2001,515,465.0,10,1
UID-2001,195,41.2,15,1
UID-2001,38,8.4,11,0
UID-2001,415,225.5,14,1
UID-2001,48,12.5,14,0
UID-2001,135,46.0,10,1
UID-2001,98,36.4,12,1
UID-2001,20,1.8,10,0
UID-2001,345,205.0,15,1
UID-2001,50,16.8,12,0
UID-2001,615,815.0,11,1
UID-2001,28,5.8,14,0
UID-2001,165,71.0,10,1
UID-2001,130,49.5,10,1
UID-2001,50,13.5,12,0
UID-2001,310,160.2,10,1
UID-2001,20,3.8,15,0
UID-2001,68,23.0,10,1
UID-2001,250,91.9,11,1
UID-2001,14,1.0,12,0
UID-2001,510,460.0,10,1
UID-2001,190,33.2,15,1
UID-2001,30,6.5,11,0
UID-2001,410,220.5,14,1
UID-2001,40,12.5,14,0
UID-2001,128,42.5,10,1
UID-2001,95,34.8,12,1
UID-2001,18,1.6,10,0
UID-2001,338,198.0,15,1
UID-2001,48,16.0,12,0
UID-2001,608,808.0,11,1
UID-2001,25,5.0,15,0
UID-2001,50,10.8,12,1
UID-2001,60,19.0,10,1
UID-2001,15,1.2,12,0
UID-2001,320,170.2,10,1
UID-2001,30,5.2,15,0
UID-2001,75,26.0,10,1
UID-2001,260,98.9,11,1
UID-2001,20,2.0,12,0
UID-2001,520,470.0,10,1
UID-2001,200,42.2,15,1
UID-2001,40,8.8,11,0
UID-2001,420,230.5,14,1
UID-2001,50,13.0,14,0
UID-2001,140,47.0,10,1
UID-2001,100,37.4,12,1
UID-2001,22,2.0,10,0
UID-2001,350,210.0,15,1
UID-2001,52,17.2,12,0
UID-2001,620,820.0,11,1
UID-2001,30,6.2,14,0
UID-2001,170,72.0,10,1
UID-2001,135,50.5,10,1
UID-2001,52,14.0,12,0
UID-2001,315,165.2,10,1
UID-2001,22,4.2,15,0
UID-2001,70,24.0,10,1
UID-2001,255,92.9,11,1
UID-2001,15,1.2,12,0
UID-2001,515,465.0,10,1
UID-2001,195,34.2,15,1
UID-2001,32,6.8,11,0
UID-2001,415,225.5,14,1
UID-2001,42,12.8,14,0
UID-2001,130,43.5,10,1
UID-2001,98,35.8,12,1
UID-2001,20,1.8,10,0
UID-2001,340,200.0,15,1
UID-2001,50,16.5,12,0
UID-2001,610,810.0,11,1
UID-2001,28,5.4,15,0
UID-2001,52,11.2,12,1
UID-2001,62,19.5,10,1
UID-2001,18,1.4,12,0
UID-2001,325,175.2,10,1
UID-2001,32,5.5,15,0
UID-2001,78,26.5,10,1
UID-2001,265,99.9,11,1
UID-2001,22,2.2,12,0
UID-2001,525,475.0,10,1
UID-2001,205,43.2,15,1
UID-2001,42,9.2,11,0
